PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,FROM_YEAR,TO_YEAR
Vanderbilt,Jarred,Minnesota,Timberwolves,MIN,F,"6'9""",214 lbs,Kentucky,USA,2018.0,2.0,41.0,1.0,5.9,5.8,1.6,2018,2020
Vassell,Devin,San Antonio,Spurs,SAS,G-F,"6'5""",200 lbs,Florida State,USA,2020.0,1.0,11.0,1.0,5.6,3.2,1.1,2020,2020
Vincent,Gabe,Miami,Heat,MIA,G,"6'3""",200 lbs,California-Santa Barbara,USA,,,,1.0,5.8,1.1,1.2,2019,2020
Vonleh,Noah,Denver,Nuggets,DEN,F,"6'10""",257 lbs,Indiana,USA,2014.0,1.0,9.0,,0.0,0.3,0.3,2014,2020
Vucevic,Nikola,Orlando,Magic,ORL,C,"6'11""",260 lbs,Southern California,Montenegro,2011.0,1.0,16.0,1.0,24.6,11.7,3.7,2011,2020
Wade,Dean,Cleveland,Cavaliers,CLE,F-C,"6'9""",228 lbs,Kansas State,USA,,,,1.0,3.3,2.1,0.7,2019,2020
Wagner,Moritz,Washington,Wizards,WAS,F-C,"6'11""",245 lbs,Michigan,Germany,2018.0,1.0,25.0,1.0,7.0,3.0,1.2,2018,2020
Walker,Kemba,Boston,Celtics,BOS,G,"6'0""",184 lbs,Connecticut,USA,2011.0,1.0,9.0,1.0,18.1,3.6,4.4,2011,2020
Walker IV,Lonnie,San Antonio,Spurs,SAS,G-F,"6'4""",204 lbs,Miami,USA,2018.0,1.0,18.0,1.0,11.1,2.9,1.7,2018,2020
Wall,John,Houston,Rockets,HOU,G,"6'3""",210 lbs,Kentucky,USA,2010.0,1.0,1.0,1.0,21.0,3.2,6.0,2010,2020
Wanamaker,Brad,Golden State,Warriors,GSW,G,"6'3""",210 lbs,Pittsburgh,USA,,,,1.0,4.8,1.7,2.7,2018,2020
Warren,T.J.,Indiana,Pacers,IND,F,"6'8""",220 lbs,North Carolina State,USA,2014.0,1.0,14.0,1.0,15.5,3.5,1.3,2014,2020
Washington,P.J.,Charlotte,Hornets,CHA,F,"6'7""",230 lbs,Kentucky,USA,2019.0,1.0,12.0,1.0,12.6,6.4,2.9,2019,2020
Watanabe,Yuta,Toronto,Raptors,TOR,G-F,"6'9""",215 lbs,George Washington,Japan,,,,1.0,2.7,3.1,0.4,2018,2020
Waters,Tremont,Boston,Celtics,BOS,G,"5'10""",175 lbs,Louisiana State,USA,2019.0,2.0,51.0,1.0,3.3,0.8,3.0,2019,2020
Watson,Paul,Toronto,Raptors,TOR,G,"6'6""",210 lbs,Fresno State,USA,,,,1.0,2.4,1.1,0.3,2019,2020
Weatherspoon,Quinndary,San Antonio,Spurs,SAS,G,"6'3""",205 lbs,Mississippi State,USA,2019.0,2.0,49.0,1.0,0.8,0.4,0.6,2019,2020
Westbrook,Russell,Washington,Wizards,WAS,G,"6'3""",200 lbs,UCLA,USA,2008.0,1.0,4.0,1.0,21.1,9.4,9.8,2008,2020
White,Coby,Chicago,Bulls,CHI,G,"6'5""",195 lbs,North Carolina,USA,2019.0,1.0,7.0,1.0,16.1,4.9,5.0,2019,2020
White,Derrick,San Antonio,Spurs,SAS,G,"6'4""",190 lbs,Colorado,USA,2017.0,1.0,29.0,1.0,11.7,1.5,3.4,2017,2020
Whiteside,Hassan,Sacramento,Kings,SAC,C,"7'0""",265 lbs,Marshall,USA,2010.0,2.0,33.0,1.0,8.3,5.7,0.5,2010,2020
Whittington,Greg,Denver,Nuggets,DEN,F,"6'8""",210 lbs,Georgetown,USA,,,,1.0,0.0,0.0,0.0,2020,2020
Wiggins,Andrew,Golden State,Warriors,GSW,F,"6'7""",197 lbs,Kansas,Canada,2014.0,1.0,1.0,1.0,16.9,4.6,2.2,2014,2020
Williams,Grant,Boston,Celtics,BOS,F,"6'6""",236 lbs,Tennessee,USA,2019.0,1.0,22.0,1.0,5.1,3.0,0.9,2019,2020
Williams,Kenrich,Oklahoma City,Thunder,OKC,G-F,"6'6""",210 lbs,TCU,USA,,,,1.0,6.3,3.9,1.7,2018,2020
Williams,Lou,LA,Clippers,LAC,G,"6'1""",175 lbs,South Gwinnett HS (GA),USA,2005.0,2.0,45.0,1.0,12.6,2.3,3.7,2005,2020
Williams,Patrick,Chicago,Bulls,CHI,F,"6'7""",215 lbs,Florida State,USA,2020.0,1.0,4.0,1.0,9.8,4.6,1.2,2020,2020
Williams III,Robert,Boston,Celtics,BOS,C-F,"6'8""",237 lbs,Texas A&M,USA,2018.0,1.0,27.0,1.0,6.8,5.8,1.2,2018,2020
Williamson,Zion,New Orleans,Pelicans,NOP,F,"6'7""",284 lbs,Duke,USA,2019.0,1.0,1.0,1.0,25.5,7.1,3.3,2019,2020
Wilson,D.J.,Milwaukee,Bucks,MIL,F,"6'10""",231 lbs,Michigan,USA,2017.0,1.0,17.0,1.0,3.6,2.1,0.3,2017,2020
